"facility_id","common_name","address","city","zip_code","block_lot","owned_leased","dept_id_for_jurisdiction","jurisdiction","gross_sq_ft","longitude","latitude","supervisor_district","city_tenants","land_id","geom","data_last_updated","data_as_of","data_loaded_at"
"275","Bureau of Equipment Headquarters","2501 25TH ST","San Francisco","94110","4279001","Own","38","Fire Department","7,000","-122.40357271999994","37.75173930900007","10",,"345","POINT (-122.40357272 37.751739309)","2026/05/14 11:57:33 PM","2026/09/02 02:21:00 PM","2026/09/10 10:25:43 AM"
"701","Fire Station #19","390 BUCKINGHAM WAY","San Francisco","94132","7296002","Own","38","Fire Department","11,500","-122.47890289799994","37.727811615000064","7",,"306","POINT (-122.478902898 37.727811615)","2026/05/14 11:57:33 PM","2026/09/02 02:21:00 PM","2026/09/10 10:25:43 AM"
"723","Fire Station #40","2155 18TH AVE","San Francisco","94116","2199003","Own","38","Fire Department","7,350","-122.47526939799997","37.74761093800004","7",,"318","POINT (-122.475269398 37.747610938)","2026/05/14 11:57:33 PM","2026/09/02 02:21:00 PM","2026/09/10 10:25:43 AM"
"150","Station 49, Ambulance Deployment Facility","2241 JERROLD AVE","San Francisco","94124","5286A021","Own","38","Fire Department","6,400","-122.40203859799999","37.744323681000026","10",,"1,236","POINT (-122.402038598 37.744323681)","2026/05/14 11:57:33 PM","2026/09/02 02:21:00 PM","2026/09/10 10:25:43 AM"
"706","Fire Station #23","1348 45TH AVE","San Francisco","94122","1799029","Own","38","Fire Department","12,000","-122.50471003499996","37.76140573300006","4",,"319","POINT (-122.504710035 37.761405733)","2026/05/14 11:57:33 PM","2026/09/02 02:21:00 PM","2026/09/10 10:25:43 AM"
"691","Fire Station #1","935 FOLSOM ST","San Francisco","94105","3753313","Own","38","Fire Department",,"-122.40412015999999","37.77945652500006","6",,"951","POINT (-122.40412016 37.779456525)","2026/05/14 11:57:33 PM","2026/09/02 02:21:00 PM","2026/09/10 10:25:43 AM"
"733","Fire Station #8","36 BLUXOME ST","San Francisco","94107","3786039","Own","38","Fire Department","8,000","-122.39671009299997","37.77730564400008","6",,"312","POINT (-122.396710093 37.777305644)","2026/05/14 11:57:33 PM","2026/09/02 02:21:00 PM","2026/09/10 10:25:43 AM"
"711","Fire Station #29","299 VERMONT ST","San Francisco","94103","3935002","Own","38","Fire Department","8,300","-122.40429579299996","37.766156471000045","6",,"343","POINT (-122.404295793 37.766156471)","2026/05/14 11:57:33 PM","2026/09/02 02:21:00 PM","2026/09/10 10:25:43 AM"
"717","Fire Station #36","109 OAK ST","San Francisco","94102","0837025","Own","38","Fire Department","16,100","-122.42121127999997","37.77493240600006","5",,"327","POINT (-122.42121128 37.774932406)","2026/05/14 11:57:33 PM","2026/09/02 02:21:00 PM","2026/09/10 10:25:43 AM"
"694","Fire Station #12","1145 STANYAN ST","San Francisco","94117","2630047","Own","38","Fire Department","11,300","-122.45258644499995","37.76344992600008","8",,"316","POINT (-122.452586445 37.763449926)","2026/05/14 11:57:33 PM","2026/09/02 02:21:00 PM","2026/09/10 10:25:43 AM"
